id,category,status,answer_relevancy,faithfulness,contextual_precision,contextual_recall,contextual_relevancy,hallucination,correctness_g_eval,hit_at_k,mrr,precision_at_k,recall_at_k,ndcg_at_k,metadata_match_ratio,backend_fts,backend_vector,backend_hybrid,chunk_hit_at_k,chunk_mrr,chunk_precision_at_k,chunk_recall_at_k,chunk_ndcg_at_k,required_keyword_hit_rate,disallowed_keyword_hits,avg_judge_score,latency_seconds,retrieval_latency_seconds,llm_latency_seconds,error_count
Population and capital,Factual,PASS,1.0,1.0,1.0,1.0,0.8333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,83.3,7.74,1.25,6.49,0
Written language forms,Factual,PASS,1.0,0.5,0.5,1.0,0.6,0.5,0.8,1.0,0.5,0.5,0.5,0.651,1.0,0,0,0,1.0,0.5,0.5,1.0,0.651,1.0,0,70.0,2.83,0.15,2.68,0
Friluftsliv and allemannsretten,Concept,PASS,1.0,1.0,1.0,0.6667,0.8571,0.3333,0.7,1.0,1.0,0.8,1.0,0.956,1.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,79.4,5.39,0.2,5.19,0
Midnight sun and polar night,Concept,PASS,0.75,1.0,1.0,0.5,1.0,0.0,0.7,1.0,1.0,0.8,0.5,0.983,1.0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0,70.7,10.3,0.18,10.12,0
Population distribution,Factual,PASS,1.0,1.0,1.0,1.0,0.8333,0.3333,0.7,1.0,1.0,0.8,1.0,1.0,1.0,0,0,0,1.0,1.0,0.4,1.0,0.877,0.667,0,83.8,3.93,0.16,3.77,0
Population profile,Filtered,REVIEW,1.0,1.0,1.0,1.0,1.0,0.3333,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.5,1.0,1.0,0.5,0,87.6,4.65,0.25,4.4,0
Roald Amundsen,Factual,REVIEW,0.3333,1.0,1.0,1.0,0.6,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,69.0,4.66,0.3,4.36,0
Constitution 1814,Historical,PASS,1.0,1.0,1.0,1.0,0.75,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,80.7,4.53,0.23,4.3,0
Lærdal tunnel,Factual,PASS,1.0,1.0,1.0,1.0,0.2857,0.0,0.8,1.0,1.0,0.25,1.0,1.0,1.0,0,0,0,1.0,1.0,0.25,1.0,1.0,0.5,0,72.7,6.27,0.18,6.09,0
Preikestolen vs. Trolltunga,Factual,PASS,0.5,1.0,1.0,1.0,0.1667,0.0,1.0,1.0,1.0,0.5,1.0,0.92,1.0,0,0,0,1.0,1.0,0.25,1.0,1.0,1.0,0,66.7,2.72,0.23,2.49,0
