id,category,status,answer_relevancy,faithfulness,contextual_precision,contextual_recall,contextual_relevancy,hallucination,correctness_g_eval,hit_at_k,mrr,precision_at_k,recall_at_k,ndcg_at_k,metadata_match_ratio,backend_fts,backend_vector,backend_hybrid,backend_other,chunk_hit_at_k,chunk_mrr,chunk_precision_at_k,chunk_recall_at_k,chunk_ndcg_at_k,required_keyword_hit_rate,disallowed_keyword_hits,avg_judge_score,agent_input_tokens,agent_output_tokens,agent_total_tokens,judge_input_tokens,judge_output_tokens,judge_total_tokens,latency_seconds,retrieval_latency_seconds,llm_latency_seconds,error_count
Population and capital,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0,4,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.781,2810,102,2912,9589,1511,11100,2.77,1.48,1.29,0
Written language forms,Factual,PASS,1.0,1.0,0.5,0.6667,0.25,0.5,0.5,1.0,0.5,0.5,0.5,0.651,1.0,0,4,0,0,1.0,0.5,0.5,1.0,0.651,1.0,0,0.631,2803,65,2868,9408,1496,10904,2.2,0.81,1.39,0
Friluftsliv and allemannsretten,Concept,PASS,1.0,1.0,1.0,1.0,0.4286,0.3333,0.7,1.0,1.0,0.8,1.0,0.956,1.0,0,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.78,2867,166,3033,10697,2164,12861,3.43,0.22,3.21,0
Midnight sun and polar night,Concept,PASS,1.0,0.75,1.0,1.0,0.6,0.0,0.7,1.0,1.0,0.8,0.5,0.983,1.0,0,5,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0,0.721,2812,257,3069,10464,2057,12521,5.45,0.2,5.25,0
Population distribution,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0,0,5,0,0,1.0,1.0,0.4,1.0,0.877,0.667,0,0.752,2783,137,2920,9951,1858,11809,3.44,0.17,3.27,0
Population profile,Filtered,PASS,1.0,1.0,1.0,1.0,1.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0,4,0,0,1.0,1.0,0.5,1.0,1.0,0.5,0,0.814,2862,154,3016,10277,1897,12174,3.17,0.19,2.98,0
Roald Amundsen,Factual,PASS,1.0,1.0,1.0,1.0,0.4286,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0,5,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,0.733,2934,128,3062,10262,1869,12131,2.85,0.16,2.69,0
Constitution 1814,Historical,PASS,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5,0,0,1.0,1.0,0.4,1.0,1.0,1.0,0,0.821,2782,90,2872,9320,1782,11102,2.41,0.16,2.25,0
Lærdal tunnel,Factual,PASS,0.6667,1.0,1.0,1.0,0.4,0.0,0.7,1.0,1.0,0.25,1.0,1.0,1.0,0,4,0,0,1.0,1.0,0.25,1.0,1.0,0.5,0,0.681,2859,91,2950,9872,1684,11556,2.97,0.2,2.77,0
Preikestolen vs. Trolltunga,Factual,PASS,1.0,1.0,1.0,1.0,0.1429,0.0,0.7,1.0,1.0,0.5,1.0,0.92,1.0,0,4,0,0,1.0,1.0,0.25,1.0,1.0,1.0,0,0.692,2880,77,2957,9745,1632,11377,6.56,0.17,6.39,0
Cheese slicer invention,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.7,1.0,1.0,0.75,1.0,1.0,1.0,0,4,0,0,1.0,1.0,0.5,1.0,1.0,1.0,0,0.767,2791,83,2874,9274,1340,10614,2.26,0.17,2.09,0
EV and renewable energy,Multi,PASS,1.0,1.0,1.0,0.5,0.2,0.0,0.7,1.0,1.0,0.4,1.0,0.92,1.0,0,5,0,0,1.0,1.0,0.6,1.0,0.906,1.0,0,0.629,2834,145,2979,9989,4441,14430,2.86,0.19,2.67,0
Oil fund vs. sustainability,Synthesis,PASS,1.0,1.0,1.0,0.6667,0.6,0.0,0.4,1.0,1.0,0.667,1.0,0.905,1.0,0,6,0,0,1.0,1.0,0.5,1.0,0.947,0.5,0,0.667,2888,214,3102,10712,2100,12812,4.08,0.24,3.84,0
Immigration demographics,Factual,REVIEW,0.6667,1.0,0.6333,1.0,0.1538,0.0,0.5,1.0,1.0,0.8,1.0,0.983,1.0,0,5,0,0,1.0,1.0,0.2,0.333,1.0,0.0,0,0.565,6122,135,6257,13076,2281,15357,4.04,0.18,3.86,0
Troll culture and geography,Concept,PASS,1.0,1.0,1.0,0.6667,0.25,0.3333,0.6,1.0,1.0,0.8,1.0,0.956,1.0,0,5,0,0,1.0,1.0,0.4,0.667,0.877,0.5,0,0.693,2906,175,3081,10668,2111,12779,3.23,0.17,3.06,0
Adversarial out of scope,Adversarial,REVIEW,0.0,1.0,0.0,1.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.386,2861,72,2933,9815,1739,11554,2.17,0.16,2.01,0
