id,category,status,answer_relevancy,faithfulness,contextual_precision,contextual_recall,contextual_relevancy,hallucination,correctness_g_eval,source_hit_rate,metadata_match_ratio,mrr,precision_at_k,recall_at_k,ndcg_at_k,backend_fts,backend_vector,backend_hybrid,required_keyword_hit_rate,disallowed_keyword_hits,avg_judge_score,latency_seconds,retrieval_latency_seconds,llm_latency_seconds,error_count
Population and capital,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,81.0,7.322,0.543,6.779,0
Written language forms,Factual,PASS,1.0,1.0,0.5,1.0,0.6,0.0,0.8,0.5,1.0,0.5,0.5,0.5,0.651,0,0,0,1.0,0,70.0,1.913,0.127,1.786,0
Friluftsliv and allemannsretten,Concept,PASS,1.0,1.0,0.8333,0.6667,0.75,0.3333,0.8,1.0,1.0,1.0,0.8,1.0,0.956,0,0,0,1.0,0,76.9,3.546,0.174,3.372,0
Midnight sun and polar night,Concept,PASS,1.0,1.0,1.0,0.5,1.0,0.5,0.8,0.5,1.0,1.0,0.8,0.5,0.983,0,0,0,0.5,0,82.9,10.688,0.143,10.545,0
Population distribution,Factual,PASS,0.8333,1.0,0.8333,0.6667,0.8333,0.3333,0.7,1.0,1.0,1.0,0.8,1.0,1.0,0,0,0,0.667,0,74.3,10.605,0.185,10.42,0
Population profile,Filtered,REVIEW,1.0,1.0,1.0,1.0,1.0,0.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,82.9,3.409,0.159,3.25,0
Roald Amundsen,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,79.5,10.403,0.242,10.161,0
Constitution 1814,Historical,PASS,1.0,1.0,1.0,1.0,0.75,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,80.7,2.713,0.154,2.559,0
Lærdal tunnel,Factual,PASS,1.0,1.0,1.0,1.0,0.25,0.0,0.9,1.0,1.0,1.0,0.25,1.0,1.0,0,0,0,0.5,0,73.6,10.625,0.423,10.202,0
Preikestolen vs. Trolltunga,Factual,PASS,0.5,1.0,1.0,1.0,0.1667,0.0,0.9,1.0,1.0,1.0,0.5,1.0,0.92,0,0,0,1.0,0,65.2,2.365,0.16,2.205,0
Cheese slicer invention,Factual,PASS,1.0,1.0,1.0,1.0,0.6667,0.0,0.9,1.0,1.0,1.0,0.75,1.0,1.0,0,0,0,1.0,0,79.5,2.382,0.203,2.179,0
EV and renewable energy,Multi,PASS,1.0,1.0,1.0,0.5,0.3333,0.0,0.9,1.0,1.0,1.0,0.4,1.0,0.92,0,0,0,1.0,0,67.6,7.753,0.146,7.607,0
Oil fund vs. sustainability,Synthesis,PASS,0.8333,1.0,1.0,0.3333,0.5,0.6667,0.6,1.0,1.0,1.0,0.667,1.0,0.905,0,0,0,0.5,0,70.5,9.087,0.183,8.904,0
Immigration demographics,Factual,PASS,1.0,1.0,1.0,0.5,0.75,0.5,0.5,1.0,1.0,1.0,0.8,1.0,0.983,0,0,0,0.5,0,75.0,2.209,0.128,2.081,0
Troll culture and geography,Concept,PASS,1.0,1.0,1.0,0.6667,0.4444,0.3333,0.8,1.0,1.0,1.0,0.8,1.0,0.956,0,0,0,0.5,0,74.9,9.639,0.293,9.346,0
Adversarial out of scope,Adversarial,REVIEW,0.4,1.0,0.0,0.5,0.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,40.0,2.517,0.145,2.372,0
